County Name,County Code,Health Topic Number,Health Topic,Indicator ID,Indicator Name,Date Year,Trend Data County Value,Three Year Average County Value
Albany,1,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,600.0,593.8
Albany,1,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,575.9,597.0
Albany,1,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,617.5,612.8
Albany,1,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,655.3,631.1
Albany,1,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,629.7,639.9
Albany,1,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,639.5,635.3
Albany,1,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,641.7,655.9
Albany,1,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,688.8,658.3
Allegany,2,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,644.0,646.9
Allegany,2,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,666.6,640.6
Allegany,2,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,626.9,637.7
Allegany,2,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,629.7,645.0
Allegany,2,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,680.2,670.7
Allegany,2,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,724.2,683.5
Allegany,2,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,663.3,661.8
Allegany,2,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,607.6,606.0
Broome,3,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,613.6,625.9
Broome,3,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,635.2,616.4
Broome,3,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,612.2,622.1
Broome,3,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,627.2,642.2
Broome,3,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,696.7,667.8
Broome,3,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,694.9,688.8
Broome,3,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,683.1,695.9
Broome,3,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,717.7,673.5
Cattaraugus,4,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,679.3,683.7
